관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,지상층수,지하층수,승강기_수,주건축물수,세대수,가구수,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적,용적율,주차_대수,y,x,업종_idx
11530-602,,지상,서울특별시 구로구 경인로53길 15,,,,5.0,0.0,0.0,,,,,,,174.92,3421.0,126.8746491,37.5009708,13
11590-100241986,11590-100241435,지상,서울특별시 동작구 사당로23길 112,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9731714,37.489084,13
11530-7503,,지상,서울특별시 구로구 구로중앙로 217,8.0,1.0,3.0,,,,,,,,,,369.18,49.0,126.8766086,37.5049823,13
11530-2719,11530-844,지상,서울특별시 구로구 오리로21가길 47-10,3.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.8265842,37.5001701,13
11530-2718,11530-844,지상,서울특별시 구로구 오리로21가길 47-10,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.8265842,37.5001701,13
11530-22437,,지상,서울특별시 구로구 구로중앙로19길 28,4.0,1.0,0.0,,,,,,,,,,197.13,2.0,126.8877063,37.4941816,13
11530-1802,11530-602,지상,서울특별시 구로구 경인로53길 15,4.0,3.0,0.0,,,,,,,,,,0.0,0.0,126.8746491,37.5009708,13
11530-17081,,지상,서울특별시 구로구 개봉로 68,4.0,1.0,0.0,,,,,,,,,,199.84,3.0,126.8562625,37.4917573,13
11530-12625,,지상,서울특별시 구로구 구로중앙로 210,5.0,1.0,1.0,,,,,,,,,,173.56,12.0,126.8781085,37.5048426,13
11530-100189765,,지상,서울특별시 구로구 중앙로6길 40,3.0,0.0,0.0,,,,,,,,,,155.24,3.0,126.8659011,37.500206,13
11590-824,,지상,서울특별시 동작구 상도로53길 8,,,,28.0,1656.0,0.0,,,,,,,229.25,2275.0,126.9548019,37.499528,13
11590-100188912,,지상,서울특별시 동작구 만양로14마길 7,4.0,2.0,0.0,,,,,,,,,,189.2,4.0,126.9463172,37.5118794,13
11200-10473,,지상,서울특별시 성동구 고산자로6길 40,8.0,3.0,3.0,,,,,,,,,,246.48,155.0,127.0354834,37.5582072,13
11200-6580,,지상,서울특별시 성동구 고산자로22길 13-1,4.0,1.0,0.0,,,,,,,,,,175.4,2.0,127.0389363,37.5691112,13
11200-4536,11200-1211,지상,서울특별시 성동구 마장로 230-1,5.0,1.0,0.0,,,,,,,,,,219.7,6.0,127.035439,37.5660343,13
11200-21629,11200-756,지상,서울특별시 성동구 성수이로 77,4.0,1.0,0.0,,,,,,,,,,199.19,4.0,127.056009,37.5419964,13
11260-23720,,지상,서울특별시 중랑구 중랑역로 204,5.0,1.0,0.0,,,,,,,,,,138.12,7.0,127.0760284,37.6116162,13
11260-18316,,지상,서울특별시 중랑구 봉화산로 49,3.0,1.0,0.0,,,,,,,,,,144.36,0.0,127.0798927,37.6017453,13
11260-1000000000000001524604,,지상,서울특별시 중랑구 용마산로94길 74,5.0,0.0,1.0,,,,,,,,,,199.88,3.0,127.1004889,37.5878004,13
11590-13843,,지상,서울특별시 동작구 동작대로 51,4.0,1.0,0.0,,,,,,,,,,233.33,0.0,126.9814942,37.4811922,13
11140-16604,,지상,서울특별시 중구 퇴계로90길 18,3.0,0.0,0.0,,,,,,,,,,150.46,1.0,127.0219893,37.5645654,13
11710-14776,,지상,서울특별시 송파구 오금로36길 26,4.0,1.0,0.0,,,,,,,,,,162.88,3.0,127.1241599,37.5016112,13
11290-100202635,,지상,서울특별시 성북구 보문로29길 64,6.0,1.0,1.0,,,,,,,,,,199.9033,11.0,127.0146378,37.5871005,13
11680-5670,,지상,서울특별시 강남구 선릉로64길 5,5.0,1.0,1.0,,,,,,,,,,232.92,6.0,127.052649,37.497868,13
11320-100207251,,지상,방학동 345-0,,,,0.0,0.0,0.0,,,,,,,149.71,4.0,127.0300069,37.6671132,13
11140-7295,,지상,서울특별시 중구 퇴계로50길 24,3.0,1.0,0.0,,,,,,,,,,147.87,3.0,127.0009146,37.5617005,13
11710-100226585,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A47,지상,40.0,0.0,20.7525,0.0,0.0,127.0870103,37.5119636,13
11710-100226580,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A37,지상,10.0,3.0,6.4771,0.0,0.0,127.0870103,37.5119636,13
11710-100226584,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A47,지상,40.0,0.0,0.5458,0.0,0.0,127.0870103,37.5119636,13
11710-100226579,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A36,지상,40.0,0.0,16.6071,0.0,0.0,127.0870103,37.5119636,13
11710-100226583,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A45,지상,10.0,3.0,7.0935,0.0,0.0,127.0870103,37.5119636,13
11620-18262,,지상,서울특별시 관악구 관천로22길 43,4.0,1.0,0.0,,,,,,,,,,168.63,0.0,126.9248088,37.4888416,13
11110-26788,,지상,서울특별시 종로구 경희궁2길 14,5.0,1.0,1.0,,,,,,,,,,288.95,8.0,126.9716013,37.5729094,13
11710-100218994,11710-100218913,지상,서울특별시 송파구 올림픽로 435,,,,,,,114동,2101,지상,10.0,1.0,20.757,0.0,0.0,127.1086482,37.5212331,13
11170-1000000000000001641760,,지상,서울특별시 용산구 신흥로7길 58-1,3.0,1.0,0.0,,,,,,,,,,130.82,1.0,126.9848705,37.5437858,13
11620-1000000000000001062779,,지상,서울특별시 관악구 양녕로2길 21,4.0,0.0,0.0,,,,,,,,,,197.92,2.0,126.9478912,37.4833672,13
11710-100219034,11710-100218913,지상,서울특별시 송파구 올림픽로 435,,,,,,,114동,3101,지상,20.0,1.0,66.11,0.0,0.0,127.1086482,37.5212331,13
11620-33784,,지상,서울특별시 관악구 관천로11길 15,3.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.9241089,37.4841764,13
11170-12054,,지상,서울특별시 용산구 회나무로 32-3,5.0,1.0,0.0,,,,,,,,,,153.0,0.0,126.9902738,37.5395515,13
11200-6515,11200-719,지상,서울특별시 성동구 마장로33길 79,2.0,1.0,0.0,,,,,,,,,,0.0,0.0,127.0389028,37.5712948,13
11500-1000000000000001315208,,지상,서울특별시 강서구 화곡로15길 23,3.0,0.0,3.0,,,,,,,,,,102.09,3.0,126.8341284,37.5410219,13
11140-17578,11140-731,지상,신당동 241-5,3.0,0.0,0.0,,,,,,,,,,0.0,0.0,127.0148363,37.5635647,13
11590-100193852,,지상,서울특별시 동작구 상도로26길 22,6.0,1.0,1.0,,,,,,,,,,286.77,0.0,126.9389977,37.5038726,13
11380-30439,,지상,서울특별시 은평구 연서로 94,5.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.9155976,37.6075345,13
11140-1000000000000001425922,,지상,서울특별시 중구 마른내로12길 17-26,5.0,1.0,1.0,,,,,,,,,,293.3699,1.0,127.0013331,37.5636011,13
11170-7692,,지상,서울특별시 용산구 한강대로72길 17-14,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9742533,37.5412873,13
11200-6967,11200-697,지상,마장동 574-0,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,127.0361388,37.5664026,13
11260-5024,11260-66,지상,서울특별시 중랑구 동일로 606,6.0,1.0,1.0,,,,,,,,,,245.13,15.0,127.0801348,37.5843764,13
11440-11816,,지상,서울특별시 마포구 독막로 248,4.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.9409737,37.5463737,13
11710-100218934,11710-100218913,지상,서울특별시 송파구 올림픽로 435,,,,,,,114동,601,지상,20.0,1.0,190.83,0.0,0.0,127.1086482,37.5212331,13
11215-12671,,지상,서울특별시 광진구 광나루로36길 27,4.0,1.0,0.0,,,,,,,,,,196.99,4.0,127.086611,37.5437009,13
11290-10540,,지상,서울특별시 성북구 보문로30길 43-4,2.0,1.0,0.0,,,,,,,,,,94.23,0.0,127.0193944,37.5895384,13
11200-1000000000000001316083,,지상,서울특별시 성동구 고산자로8길 24-6,5.0,0.0,0.0,,,,,,,,,,199.61,1.0,127.0364974,37.5580772,13
11710-14780,,지상,서울특별시 송파구 중대로16길 12-1,5.0,0.0,1.0,,,,,,,,,,232.01,4.0,127.1258601,37.4958789,13
11110-7209,,지상,서울특별시 종로구 사직로10길 13,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9703921,37.5752826,13
11710-100218993,11710-100218913,지상,서울특별시 송파구 올림픽로 435,,,,,,,114동,2004,지상,10.0,1.0,38.952,0.0,0.0,127.1086482,37.5212331,13
11200-1000000000000001617821,,지상,서울특별시 성동구 아차산로17길 14-1,5.0,1.0,1.0,,,,,,,,,,263.26,4.0,127.0641028,37.5434923,13
11200-1000000000000001617847,,지상,서울특별시 성동구 왕십리로8길 22,1.0,0.0,0.0,,,,,,,,,,25.34,2.0,127.04696,37.545919,13
11170-17438,,지상,서울특별시 용산구 회나무로6길 11-25,2.0,0.0,0.0,,,,,,,,,,188.9394,0.0,126.9893108,37.5385452,13
11290-11771,,지상,서울특별시 성북구 아리랑로6길 4,2.0,1.0,0.0,,,,,,,,,,0.0,0.0,127.0156852,37.5965249,13
11110-1000000000000000431084,,지상,서울특별시 종로구 필운대로5다길 19,2.0,0.0,0.0,,,,,,,,,,83.35,0.0,126.9659504,37.5795469,13
11710-100218945,11710-100218913,지상,서울특별시 송파구 올림픽로 435,,,,,,,114동,804,지상,10.0,1.0,283.89,0.0,0.0,127.1086482,37.5212331,13
11170-5855,,지상,서울특별시 용산구 한강대로17길 11,4.0,1.0,0.0,,,,,,,,,,172.1,4.0,126.9640639,37.5262497,13
11140-1000000000000001428297,,지상,서울특별시 중구 퇴계로 452-1,15.0,2.0,1.0,,,,,,,,,,738.63,2.0,127.021854,37.5653052,13
11170-13083,,지상,서울특별시 용산구 보광로60길 14-13,2.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.9951322,37.5334262,13
11230-10162,,지상,서울특별시 동대문구 회기로 151-1,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,127.0533507,37.5913482,13
11710-100218952,11710-100218913,지상,서울특별시 송파구 올림픽로 435,,,,,,,114동,1003,지상,20.0,1.0,13.953,0.0,0.0,127.1086482,37.5212331,13
11170-11266,,지상,서울특별시 용산구 소월로 134,2.0,1.0,0.0,,,,,,,,,,51.41,0.0,126.9830599,37.5506466,13
11710-100218951,11710-100218913,지상,서울특별시 송파구 올림픽로 435,,,,,,,114동,1002,지상,10.0,1.0,26.183,0.0,0.0,127.1086482,37.5212331,13
11110-11461,,지상,서울특별시 종로구 대학로11길 17-3,1.0,0.0,0.0,,,,,,,,,,44.2,0.0,127.0009555,37.5821305,13
11110-25046,,지상,서울특별시 종로구 혜화로16길 44,3.0,1.0,0.0,,,,,,,,,,83.67,0.0,127.0004162,37.5916688,13
11110-29155,,지상,서울특별시 종로구 율곡로 217-1,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,127.0031015,37.5763263,13
11110-100202837,,지상,서울특별시 종로구 삼청로 135,3.0,1.0,1.0,,,,,,,,,,133.62,4.0,126.9815786,37.5874681,13
11140-13231,,지상,서울특별시 중구 충무로 50-6,3.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9931691,37.5655914,13
11470-100183612,,,서울특별시 양천구 안양천로 683,,,,2.0,0.0,0.0,,,,,,,24.57,5.0,126.8715105,37.5077832,13
11710-100226263,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A35,지하,20.0,0.0,2.151,0.0,0.0,127.0870103,37.5119636,13
11470-16382,,지상,서울특별시 양천구 목동중앙남로 51-1,3.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.8661842,37.5384131,13
11740-6880,,지상,서울특별시 강동구 천중로43길 72,5.0,1.0,0.0,,,,,,,,,,229.0,7.0,127.1418189,37.544175,13
11215-1361,,지상,서울특별시 광진구 능동로44길 11,3.0,1.0,0.0,,,,,,,,,,0.0,3.0,127.0822165,37.5608766,13
11140-100234062,,지상,서울특별시 중구 을지로 66,6.0,0.0,3.0,,,,,,,,,,0.0,0.0,126.9852155,37.5656141,13
11140-100234063,,지상,서울특별시 중구 을지로 66,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9852155,37.5656141,13
11140-11895,,지상,서울특별시 중구 을지로38길 28-1,3.0,1.0,0.0,,,,,,,,,,0.0,1.0,127.0032291,37.5654922,13
11470-100183614,11470-100183612,지상,서울특별시 양천구 안양천로 683,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.8715105,37.5077832,13
11140-16092,,지상,서울특별시 중구 다산로 232,5.0,1.0,0.0,,,,,,,,,,247.32,9.0,127.01612,37.5636237,13
11140-21780,,지상,서울특별시 중구 동호로14길 24,3.0,1.0,0.0,,,,,,,,,,154.74,4.0,127.0109248,37.5567043,13
11140-25636,,지상,서울특별시 중구 만리재로 207-11,5.0,1.0,0.0,,,,,,,,,,161.31,4.0,126.9678781,37.5558966,13
11110-100188447,,지상,서울특별시 종로구 성균관로5길 63,4.0,1.0,0.0,,,,,,,,,,149.907,4.0,126.9945593,37.58576,13
11110-25952,,지상,서울특별시 종로구 대학로11길 17-6,1.0,0.0,0.0,,,,,,,,,,42.21,0.0,127.000883,37.5820587,13
11110-100228365,,지상,서울특별시 종로구 동숭길 145,5.0,2.0,1.0,,,,,,,,,,239.52,6.0,127.0022771,37.5831961,13
11110-11027,,지상,서울특별시 종로구 자하문로 125-10,2.0,1.0,0.0,,,,,,,,,,48.13,3.0,126.9688961,37.5873867,13
11710-22638,,지상,서울특별시 송파구 백제고분로27길 5,3.0,1.0,0.0,,,,,,,,,,0.0,3.0,127.0925971,37.503676,13
11200-100213537,,지상,서울특별시 성동구 광나루로 240-30,6.0,0.0,1.0,,,,,,,,,,279.96,3.0,127.0560292,37.5486664,13
11740-100189318,,지상,서울특별시 강동구 올림픽로91길 12,7.0,0.0,1.0,,,,,,,,,,319.4,1.0,127.1261029,37.5481724,13
11230-11219,,지상,서울특별시 동대문구 휘경로 33-4,2.0,1.0,0.0,,,,,,,,,,116.36,1.0,127.0637206,37.5951265,13
11230-18795,,지상,서울특별시 동대문구 답십리로72길 22,4.0,1.0,0.0,,,,,,,,,,189.83,4.0,127.0740051,37.5712153,13
11470-20424,,지상,서울특별시 양천구 신목로 23-4,3.0,0.0,0.0,,,,,,,,,,143.65,0.0,126.8746545,37.5174511,13
11305-252,,지상,서울특별시 강북구 오현로 9,,,,4.0,0.0,0.0,,,,,,,94.29,0.0,127.0315875,37.6171237,13
11110-25842,,지상,서울특별시 종로구 창덕궁길 29-22,1.0,0.0,0.0,,,,,,,,,,46.3911,0.0,126.9886187,37.5788949,13
11170-19321,,지상,서울특별시 용산구 새창로45길 8,5.0,1.0,0.0,,,,,,,,,,236.19,5.0,126.9627822,37.5343613,0
11710-100226571,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A65,지상,40.0,0.0,0.3593,0.0,0.0,127.0870103,37.5119636,13
11710-100226573,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A64-2,지상,40.0,0.0,13.9954,0.0,0.0,127.0870103,37.5119636,13
11710-10181,,지상,서울특별시 송파구 오금로17길 5-13,3.0,1.0,0.0,,,,,,,,,,164.8,3.0,127.1106662,37.5114032,13
11110-26613,,지상,서울특별시 종로구 대학로11길 17-2,1.0,0.0,0.0,,,,,,,,,,47.63,0.0,127.0008645,37.5821449,13
11470-100233888,,지상,서울특별시 양천구 신월로16길 8,6.0,0.0,1.0,,,,,,,,,,271.26,6.0,126.8424229,37.5175965,13
11110-100211886,11110-100211004,지상,서울특별시 종로구 송월길 99,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9638824,37.5708754,13
11710-100226574,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A63,지상,10.0,3.0,5.4585,0.0,0.0,127.0870103,37.5119636,13
11710-100226575,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A34,지상,40.0,0.0,0.42,0.0,0.0,127.0870103,37.5119636,13
11710-100226576,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A58,지상,40.0,0.0,10.9693,0.0,0.0,127.0870103,37.5119636,13
11710-100226577,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A35,지상,10.0,3.0,4.2783,0.0,0.0,127.0870103,37.5119636,13
11710-100226578,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A57,지상,40.0,0.0,0.3292,0.0,0.0,127.0870103,37.5119636,13
11110-23187,,지상,서울특별시 종로구 팔판길 40-5,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.981602,37.5835547,13
11110-17028,,지상,서울특별시 종로구 백석동길 11-17,2.0,1.0,0.0,,,,,,,,,,46.2,3.0,126.9648847,37.5934851,13
11110-16833,,지상,서울특별시 종로구 경희궁1길 15,3.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.9706183,37.5713641,13
11320-10726,,지상,서울특별시 도봉구 덕릉로60다길 14,2.0,1.0,0.0,,,,,,,,,,98.52,1.0,127.0397453,37.6383121,13
11680-875,11680-91,지상,서울특별시 강남구 양재대로 781,3.0,1.0,0.0,,,,,,,,,,49.26,149.0,127.0950472,37.4932551,13
11110-11054,,지상,서울특별시 종로구 자하문로24길 24,1.0,0.0,0.0,,,,,,,,,,38.7994,0.0,126.9711214,37.5828614,13
11110-28176,,지상,서울특별시 종로구 삼청로2길 27,1.0,0.0,0.0,,,,,,,,,,57.24,0.0,126.9813992,37.5805027,13
11710-100226559,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A23,지상,20.0,2.0,69.42,0.0,0.0,127.0870103,37.5119636,13
11680-5850,,지상,서울특별시 강남구 개포로15길 39,1.0,1.0,0.0,,,,,,,,,,37.33,2.0,127.0463922,37.4806189,13
11710-100226572,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A64-1,지상,10.0,3.0,4.6701,0.0,0.0,127.0870103,37.5119636,13
11710-100190603,11710-100190598,지상,서울특별시 송파구 올림픽로 240,6.0,4.0,17.0,,,,,,,,,,0.0,3559.0,127.0981638,37.5110794,13
11710-100226484,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A62,지상,10.0,1.0,33.57,0.0,0.0,127.0870103,37.5119636,13
11110-8609,,지상,서울특별시 종로구 계동길 19-8,2.0,0.0,0.0,,,,,,,,,,51.9947,0.0,126.9862903,37.5780996,13
11740-1000000000000001591681,,지상,서울특별시 강동구 아리수로93나길 80,5.0,2.0,2.0,,,,,,,,,,296.95,28.0,127.1762408,37.5725546,13
11710-100226483,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A27,지상,22.0,1.0,30.1,0.0,0.0,127.0870103,37.5119636,13
11110-9035,,지상,서울특별시 종로구 종로 142,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9934096,37.5701655,13
11110-9405,,지상,서울특별시 종로구 자하문로4길 7,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9726477,37.5774167,13
11710-100226482,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A28,지상,21.0,-1.0,62.97,0.0,0.0,127.0870103,37.5119636,13
11410-100229534,11410-100229143,지상,서울특별시 서대문구 통일로 510,1.0,3.0,1.0,,,,,,,,,,0.0,0.0,126.9416347,37.5938007,13
11110-6320,,지상,서울특별시 종로구 북촌로5나길 3-7,1.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.981642,37.5814085,13
11710-100226254,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,4B06,지상,40.0,0.0,7.39,0.0,0.0,127.0870103,37.5119636,13
11710-100226258,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A28,지하,10.0,0.0,3.43,0.0,0.0,127.0870103,37.5119636,13
11710-100226259,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A30,지하,40.0,0.0,4.802,0.0,0.0,127.0870103,37.5119636,13
11710-100226260,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A29,지하,40.0,0.0,1.166,0.0,0.0,127.0870103,37.5119636,13
11110-6131,,지상,서울특별시 종로구 율곡로19길 27,5.0,1.0,0.0,,,,,,,,,,212.58,2.0,127.0063331,37.5765914,13
11620-29607,,지상,서울특별시 관악구 쑥고개로 24,2.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.9402439,37.4780346,13
11680-12444,,지상,서울특별시 강남구 도산대로1길 20,5.0,1.0,0.0,,,,,,,,,,0.0,0.0,127.0200002,37.5180218,13
11710-100226255,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,C5,지하,40.0,0.0,1.795,0.0,0.0,127.0870103,37.5119636,13
11680-12411,,지상,서울특별시 강남구 테헤란로78길 8,9.0,2.0,1.0,,,,,,,,,,534.7,10.0,127.0552512,37.5056306,13
11440-1000000000000001544516,,지상,서울특별시 마포구 월드컵로11길 46-14,4.0,0.0,1.0,,,,,,,,,,199.48,2.0,126.9082948,37.5546645,13
11710-100226261,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A31,지하,10.0,0.0,2.229,0.0,0.0,127.0870103,37.5119636,13
11545-2586,11545-509,지상,서울특별시 금천구 범안로15길 4,3.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.893443,37.4668103,13
11440-100187732,,지상,서울특별시 마포구 어울마당로 100-6,4.0,0.0,1.0,,,,,,,,,,191.37,3.0,126.9224918,37.5536788,6
11440-1000000000000000467180,11440-100770937,지상,서울특별시 마포구 서강로 65,7.0,1.0,1.0,,,,,,,,,,240.95,21.0,126.9315832,37.5491097,13
11710-100226262,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A32,지하,40.0,0.0,0.694,0.0,0.0,127.0870103,37.5119636,13
11710-100226257,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,C6,지하,20.0,0.0,3.309,0.0,0.0,127.0870103,37.5119636,13
11710-100226269,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A38,지하,40.0,0.0,8.671,0.0,0.0,127.0870103,37.5119636,13
11710-100226270,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A41,지하,20.0,0.0,3.883,0.0,0.0,127.0870103,37.5119636,13
11530-12992,,지상,서울특별시 구로구 남부순환로97길 12,7.0,2.0,1.0,,,,,,,,,,393.91,12.0,126.8586933,37.4942053,13
11710-100226271,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A42,지하,40.0,0.0,1.253,0.0,0.0,127.0870103,37.5119636,13
11710-100226272,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A43-1,지하,10.0,0.0,4.025,0.0,0.0,127.0870103,37.5119636,13
11710-100226582,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A48,지상,40.0,0.0,18.1876,0.0,0.0,127.0870103,37.5119636,13
11650-18171,11650-399,지상,서울특별시 서초구 서초대로65길 13-10,3.0,2.0,0.0,,,,,,,,,,0.0,0.0,127.0190605,37.4984929,13
11680-10075,,지상,서울특별시 강남구 논현로 58,5.0,1.0,0.0,,,,,,,,,,214.07,6.0,127.0472399,37.4755612,13
11710-100226264,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A33,지하,40.0,0.0,5.843,0.0,0.0,127.0870103,37.5119636,13
11440-27972,,지상,서울특별시 마포구 동교로 256-10,3.0,1.0,0.0,,,,,,,,,,118.59,0.0,126.9251831,37.562437,13
11440-20023,,지상,서울특별시 마포구 양화로11길 60,5.0,1.0,1.0,,,,,,,,,,270.73,12.0,126.9135046,37.5522104,13
11710-100226267,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A36-2,지하,10.0,0.0,2.712,0.0,0.0,127.0870103,37.5119636,13
11710-100226278,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,4B02,지상,10.0,0.0,31.098,0.0,0.0,127.0870103,37.5119636,13
11110-3498,,지상,서울특별시 종로구 자하문로 19-1,3.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.9717606,37.5777988,13
11710-100226265,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A34,지하,20.0,0.0,2.616,0.0,0.0,127.0870103,37.5119636,13
11710-100226266,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A36-1,지하,40.0,0.0,1.419,0.0,0.0,127.0870103,37.5119636,13
11710-100226581,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A56,지상,40.0,0.0,0.4983,0.0,0.0,127.0870103,37.5119636,13
11680-1000000000000001242091,,지상,서울특별시 강남구 강남대로110길 24,0.0,1.0,0.0,,,,,,,,,,0.0,5.0,127.0266369,37.503701,13
11680-5323,,지상,서울특별시 강남구 선릉로82길 47,5.0,0.0,0.0,,,,,,,,,,255.73,8.0,127.0538819,37.5036661,13
11110-3506,,지상,서울특별시 종로구 북촌로 133,3.0,1.0,0.0,,,,,,,,,,53.43,0.0,126.9833493,37.5873031,13
11710-100226558,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A22,지상,20.0,1.0,63.3875,0.0,0.0,127.0870103,37.5119636,13
11440-100255283,,지상,서울특별시 마포구 동교로38안길 24,4.0,0.0,0.0,,,,,,,,,,197.11,2.0,126.9252157,37.5621571,13
11680-100198507,,지상,서울특별시 강남구 삼성로 553,7.0,3.0,1.0,,,,,,,,,,249.98,25.0,127.0540718,37.5108795,13
11710-100226590,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A16,지상,40.0,0.0,0.8671,0.0,0.0,127.0870103,37.5119636,13
11710-100226586,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A48,지상,10.0,3.0,8.0939,0.0,0.0,127.0870103,37.5119636,13
11710-100226589,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A21,지상,10.0,3.0,11.27,0.0,0.0,127.0870103,37.5119636,13
11710-100226588,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A65,지상,40.0,0.0,28.896,0.0,0.0,127.0870103,37.5119636,13
11710-100226587,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A26,지상,40.0,0.0,0.6227,0.0,0.0,127.0870103,37.5119636,13
11710-100226359,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A72-1,지하,20.0,0.0,52.41,0.0,0.0,127.0870103,37.5119636,13
11710-100497327,11710-100497084,지상,서울특별시 송파구 올림픽로 300,12.0,6.0,15.0,,,,,,,,,,0.0,0.0,127.1025625,37.5125702,13
11710-100226277,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,4B03,지상,40.0,0.0,16.27,0.0,0.0,127.0870103,37.5119636,13
11680-1000000000000001242117,,지상,서울특별시 강남구 강남대로110길 26,0.0,2.0,1.0,,,,,,,,,,0.0,14.0,127.0266369,37.503701,13
11410-25185,,지상,서울특별시 서대문구 거북골로23길 58-3,2.0,1.0,0.0,,,,,,,,,,81.4,0.0,126.9047161,37.57769,13
11710-100226268,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A37,지하,40.0,0.0,0.844,0.0,0.0,127.0870103,37.5119636,13
11710-100226276,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,4B04,지상,40.0,0.0,9.682,0.0,0.0,127.0870103,37.5119636,13
