관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,지상층수,지하층수,승강기_수,주건축물수,세대수,가구수,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적,용적율,주차_대수,y,x,업종_idx
11215-18368,,지상,서울특별시 광진구 자양로15길 9,3.0,1.0,0.0,,,,,,,,,,153.25,6.0,127.0830033,37.53579,13
11215-21084,,지상,서울특별시 광진구 동일로18길 65,3.0,1.0,0.0,,,,,,,,,,0.0,0.0,127.066431,37.5390948,13
11230-100259195,,지상,서울특별시 동대문구 사가정로 80,4.0,2.0,2.0,,,,,,,,,,199.68,69.0,127.0549266,37.5752238,13
11230-100266035,,지상,서울특별시 동대문구 경동시장로14길 13,2.0,0.0,0.0,,,,,,,,,,99.56,1.0,127.0413057,37.5826639,13
11320-898,,지상,서울특별시 도봉구 도봉로121길 14,2.0,0.0,0.0,,,,,,,,,,118.89,0.0,127.0357086,37.652111,13
11380-28079,,지상,서울특별시 은평구 가좌로 190-1,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9203004,37.5878461,13
11200-100207186,11200-100207057,지상,서울특별시 성동구 마장로 137,2.0,2.0,5.0,,,,,,,,,,0.0,0.0,127.0248134,37.5692575,13
11200-12322,,지상,서울특별시 성동구 금호산길 71,3.0,0.0,0.0,,,,,,,,,,0.0,0.0,127.0196028,37.5545416,13
11260-327,,지상,서울특별시 중랑구 봉화산로56길 112,,,,4.0,214.0,0.0,,,,,,,237.65,236.0,127.0970347,37.6037982,13
11260-334,,지상,서울특별시 중랑구 송림길 114,,,,3.0,0.0,0.0,,,,,,,65.52,21.0,127.1051446,37.6046698,13
