관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,지상층수,지하층수,승강기_수,주건축물수,세대수,가구수,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적,용적율,주차_대수
11530-602,,지상,서울특별시 구로구 경인로53길 15,,,,5.0,0.0,0.0,,,,,,,174.92,3421.0
11590-100241986,11590-100241435,지상,서울특별시 동작구 사당로23길 112,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11530-7503,,지상,서울특별시 구로구 구로중앙로 217,8.0,1.0,3.0,,,,,,,,,,369.18,49.0
11530-2719,11530-844,지상,서울특별시 구로구 오리로21가길 47-10,3.0,1.0,0.0,,,,,,,,,,0.0,0.0
11530-2718,11530-844,지상,서울특별시 구로구 오리로21가길 47-10,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11530-22437,,지상,서울특별시 구로구 구로중앙로19길 28,4.0,1.0,0.0,,,,,,,,,,197.13,2.0
11530-17081,,지상,서울특별시 구로구 개봉로 68,4.0,1.0,0.0,,,,,,,,,,199.84,3.0
11530-12625,,지상,서울특별시 구로구 구로중앙로 210,5.0,1.0,1.0,,,,,,,,,,173.56,12.0
11530-100189765,,지상,서울특별시 구로구 중앙로6길 40,3.0,0.0,0.0,,,,,,,,,,155.24,3.0
11590-824,,지상,서울특별시 동작구 상도로53길 8,,,,28.0,1656.0,0.0,,,,,,,229.25,2275.0
11590-100188912,,지상,서울특별시 동작구 만양로14마길 7,4.0,2.0,0.0,,,,,,,,,,189.2,4.0
11200-10473,,지상,서울특별시 성동구 고산자로6길 40,8.0,3.0,3.0,,,,,,,,,,246.48,155.0
11200-6580,,지상,서울특별시 성동구 고산자로22길 13-1,4.0,1.0,0.0,,,,,,,,,,175.4,2.0
11200-4536,11200-1211,지상,서울특별시 성동구 마장로 230-1,5.0,1.0,0.0,,,,,,,,,,219.7,6.0
11200-21629,11200-756,지상,서울특별시 성동구 성수이로 77,4.0,1.0,0.0,,,,,,,,,,199.19,4.0
11260-23720,,지상,서울특별시 중랑구 중랑역로 204,5.0,1.0,0.0,,,,,,,,,,138.12,7.0
11260-18316,,지상,서울특별시 중랑구 봉화산로 49,3.0,1.0,0.0,,,,,,,,,,144.36,0.0
11260-1000000000000001524604,,지상,서울특별시 중랑구 용마산로94길 74,5.0,0.0,1.0,,,,,,,,,,199.88,3.0
11590-13843,,지상,서울특별시 동작구 동작대로 51,4.0,1.0,0.0,,,,,,,,,,233.33,0.0
11140-16604,,지상,서울특별시 중구 퇴계로90길 18,3.0,0.0,0.0,,,,,,,,,,150.46,1.0
11710-14776,,지상,서울특별시 송파구 오금로36길 26,4.0,1.0,0.0,,,,,,,,,,162.88,3.0
11290-100202635,,지상,서울특별시 성북구 보문로29길 64,6.0,1.0,1.0,,,,,,,,,,199.9033,11.0
11680-5670,,지상,서울특별시 강남구 선릉로64길 5,5.0,1.0,1.0,,,,,,,,,,232.92,6.0
11320-100207251,,지상,방학동 345-0,,,,0.0,0.0,0.0,,,,,,,149.71,4.0
11140-7295,,지상,서울특별시 중구 퇴계로50길 24,3.0,1.0,0.0,,,,,,,,,,147.87,3.0
11710-100226585,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A47,지상,40.0,0.0,20.7525,0.0,0.0
11710-100226580,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A37,지상,10.0,3.0,6.4771,0.0,0.0
11710-100226584,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A47,지상,40.0,0.0,0.5458,0.0,0.0
11710-100226579,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A36,지상,40.0,0.0,16.6071,0.0,0.0
11710-100226583,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A45,지상,10.0,3.0,7.0935,0.0,0.0
11620-18262,,지상,서울특별시 관악구 관천로22길 43,4.0,1.0,0.0,,,,,,,,,,168.63,0.0
11110-26788,,지상,서울특별시 종로구 경희궁2길 14,5.0,1.0,1.0,,,,,,,,,,288.95,8.0
11710-100218994,11710-100218913,지상,서울특별시 송파구 올림픽로 435,,,,,,,114동,2101,지상,10.0,1.0,20.757,0.0,0.0
11170-1000000000000001641760,,지상,서울특별시 용산구 신흥로7길 58-1,3.0,1.0,0.0,,,,,,,,,,130.82,1.0
11620-1000000000000001062779,,지상,서울특별시 관악구 양녕로2길 21,4.0,0.0,0.0,,,,,,,,,,197.92,2.0
11710-100219034,11710-100218913,지상,서울특별시 송파구 올림픽로 435,,,,,,,114동,3101,지상,20.0,1.0,66.11,0.0,0.0
11620-33784,,지상,서울특별시 관악구 관천로11길 15,3.0,1.0,0.0,,,,,,,,,,0.0,0.0
11170-12054,,지상,서울특별시 용산구 회나무로 32-3,5.0,1.0,0.0,,,,,,,,,,153.0,0.0
11200-6515,11200-719,지상,서울특별시 성동구 마장로33길 79,2.0,1.0,0.0,,,,,,,,,,0.0,0.0
11500-1000000000000001315208,,지상,서울특별시 강서구 화곡로15길 23,3.0,0.0,3.0,,,,,,,,,,102.09,3.0
11140-17578,11140-731,지상,신당동 241-5,3.0,0.0,0.0,,,,,,,,,,0.0,0.0
11590-100193852,,지상,서울특별시 동작구 상도로26길 22,6.0,1.0,1.0,,,,,,,,,,286.77,0.0
11380-30439,,지상,서울특별시 은평구 연서로 94,5.0,1.0,0.0,,,,,,,,,,0.0,0.0
11140-1000000000000001425922,,지상,서울특별시 중구 마른내로12길 17-26,5.0,1.0,1.0,,,,,,,,,,293.3699,1.0
11170-7692,,지상,서울특별시 용산구 한강대로72길 17-14,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11200-6967,11200-697,지상,마장동 574-0,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11260-5024,11260-66,지상,서울특별시 중랑구 동일로 606,6.0,1.0,1.0,,,,,,,,,,245.13,15.0
11440-11816,,지상,서울특별시 마포구 독막로 248,4.0,1.0,0.0,,,,,,,,,,0.0,0.0
11710-100218934,11710-100218913,지상,서울특별시 송파구 올림픽로 435,,,,,,,114동,601,지상,20.0,1.0,190.83,0.0,0.0
11215-12671,,지상,서울특별시 광진구 광나루로36길 27,4.0,1.0,0.0,,,,,,,,,,196.99,4.0
11290-10540,,지상,서울특별시 성북구 보문로30길 43-4,2.0,1.0,0.0,,,,,,,,,,94.23,0.0
11200-1000000000000001316083,,지상,서울특별시 성동구 고산자로8길 24-6,5.0,0.0,0.0,,,,,,,,,,199.61,1.0
11710-14780,,지상,서울특별시 송파구 중대로16길 12-1,5.0,0.0,1.0,,,,,,,,,,232.01,4.0
11110-7209,,지상,서울특별시 종로구 사직로10길 13,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11710-100218993,11710-100218913,지상,서울특별시 송파구 올림픽로 435,,,,,,,114동,2004,지상,10.0,1.0,38.952,0.0,0.0
11200-1000000000000001617821,,지상,서울특별시 성동구 아차산로17길 14-1,5.0,1.0,1.0,,,,,,,,,,263.26,4.0
11200-1000000000000001617847,,지상,서울특별시 성동구 왕십리로8길 22,1.0,0.0,0.0,,,,,,,,,,25.34,2.0
11170-17438,,지상,서울특별시 용산구 회나무로6길 11-25,2.0,0.0,0.0,,,,,,,,,,188.9394,0.0
11290-11771,,지상,서울특별시 성북구 아리랑로6길 4,2.0,1.0,0.0,,,,,,,,,,0.0,0.0
11110-1000000000000000431084,,지상,서울특별시 종로구 필운대로5다길 19,2.0,0.0,0.0,,,,,,,,,,83.35,0.0
11710-100218945,11710-100218913,지상,서울특별시 송파구 올림픽로 435,,,,,,,114동,804,지상,10.0,1.0,283.89,0.0,0.0
11170-5855,,지상,서울특별시 용산구 한강대로17길 11,4.0,1.0,0.0,,,,,,,,,,172.1,4.0
11140-1000000000000001428297,,지상,서울특별시 중구 퇴계로 452-1,15.0,2.0,1.0,,,,,,,,,,738.63,2.0
11170-13083,,지상,서울특별시 용산구 보광로60길 14-13,2.0,1.0,0.0,,,,,,,,,,0.0,0.0
11230-10162,,지상,서울특별시 동대문구 회기로 151-1,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11710-100218952,11710-100218913,지상,서울특별시 송파구 올림픽로 435,,,,,,,114동,1003,지상,20.0,1.0,13.953,0.0,0.0
11170-11266,,지상,서울특별시 용산구 소월로 134,2.0,1.0,0.0,,,,,,,,,,51.41,0.0
11710-100218951,11710-100218913,지상,서울특별시 송파구 올림픽로 435,,,,,,,114동,1002,지상,10.0,1.0,26.183,0.0,0.0
11110-11461,,지상,서울특별시 종로구 대학로11길 17-3,1.0,0.0,0.0,,,,,,,,,,44.2,0.0
11110-25046,,지상,서울특별시 종로구 혜화로16길 44,3.0,1.0,0.0,,,,,,,,,,83.67,0.0
11110-29155,,지상,서울특별시 종로구 율곡로 217-1,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11110-100202837,,지상,서울특별시 종로구 삼청로 135,3.0,1.0,1.0,,,,,,,,,,133.62,4.0
11140-13231,,지상,서울특별시 중구 충무로 50-6,3.0,0.0,0.0,,,,,,,,,,0.0,0.0
11470-100183612,,,서울특별시 양천구 안양천로 683,,,,2.0,0.0,0.0,,,,,,,24.57,5.0
11710-100226263,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A35,지하,20.0,0.0,2.151,0.0,0.0
11470-16382,,지상,서울특별시 양천구 목동중앙남로 51-1,3.0,1.0,0.0,,,,,,,,,,0.0,0.0
11740-6880,,지상,서울특별시 강동구 천중로43길 72,5.0,1.0,0.0,,,,,,,,,,229.0,7.0
11215-1361,,지상,서울특별시 광진구 능동로44길 11,3.0,1.0,0.0,,,,,,,,,,0.0,3.0
11140-100234062,,지상,서울특별시 중구 을지로 66,6.0,0.0,3.0,,,,,,,,,,0.0,0.0
11140-100234063,,지상,서울특별시 중구 을지로 66,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11140-11895,,지상,서울특별시 중구 을지로38길 28-1,3.0,1.0,0.0,,,,,,,,,,0.0,1.0
11470-100183614,11470-100183612,지상,서울특별시 양천구 안양천로 683,2.0,0.0,0.0,,,,,,,,,,0.0,0.0
11140-16092,,지상,서울특별시 중구 다산로 232,5.0,1.0,0.0,,,,,,,,,,247.32,9.0
11140-21780,,지상,서울특별시 중구 동호로14길 24,3.0,1.0,0.0,,,,,,,,,,154.74,4.0
11140-25636,,지상,서울특별시 중구 만리재로 207-11,5.0,1.0,0.0,,,,,,,,,,161.31,4.0
11110-100188447,,지상,서울특별시 종로구 성균관로5길 63,4.0,1.0,0.0,,,,,,,,,,149.907,4.0
11110-25952,,지상,서울특별시 종로구 대학로11길 17-6,1.0,0.0,0.0,,,,,,,,,,42.21,0.0
11110-100228365,,지상,서울특별시 종로구 동숭길 145,5.0,2.0,1.0,,,,,,,,,,239.52,6.0
11110-11027,,지상,서울특별시 종로구 자하문로 125-10,2.0,1.0,0.0,,,,,,,,,,48.13,3.0
11710-22638,,지상,서울특별시 송파구 백제고분로27길 5,3.0,1.0,0.0,,,,,,,,,,0.0,3.0
11200-100213537,,지상,서울특별시 성동구 광나루로 240-30,6.0,0.0,1.0,,,,,,,,,,279.96,3.0
11740-100189318,,지상,서울특별시 강동구 올림픽로91길 12,7.0,0.0,1.0,,,,,,,,,,319.4,1.0
11230-11219,,지상,서울특별시 동대문구 휘경로 33-4,2.0,1.0,0.0,,,,,,,,,,116.36,1.0
11230-18795,,지상,서울특별시 동대문구 답십리로72길 22,4.0,1.0,0.0,,,,,,,,,,189.83,4.0
11470-20424,,지상,서울특별시 양천구 신목로 23-4,3.0,0.0,0.0,,,,,,,,,,143.65,0.0
11305-252,,지상,서울특별시 강북구 오현로 9,,,,4.0,0.0,0.0,,,,,,,94.29,0.0
11110-25842,,지상,서울특별시 종로구 창덕궁길 29-22,1.0,0.0,0.0,,,,,,,,,,46.3911,0.0
11170-19321,,지상,서울특별시 용산구 새창로45길 8,5.0,1.0,0.0,,,,,,,,,,236.19,5.0
11710-100226571,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A65,지상,40.0,0.0,0.3593,0.0,0.0
11710-100226573,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A64-2,지상,40.0,0.0,13.9954,0.0,0.0
11710-10181,,지상,서울특별시 송파구 오금로17길 5-13,3.0,1.0,0.0,,,,,,,,,,164.8,3.0
11110-26613,,지상,서울특별시 종로구 대학로11길 17-2,1.0,0.0,0.0,,,,,,,,,,47.63,0.0
11470-100233888,,지상,서울특별시 양천구 신월로16길 8,6.0,0.0,1.0,,,,,,,,,,271.26,6.0
11110-100211886,11110-100211004,지상,서울특별시 종로구 송월길 99,2.0,0.0,0.0,,,,,,,,,,0.0,0.0
11710-100226574,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A63,지상,10.0,3.0,5.4585,0.0,0.0
11710-100226575,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A34,지상,40.0,0.0,0.42,0.0,0.0
11710-100226576,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A58,지상,40.0,0.0,10.9693,0.0,0.0
11710-100226577,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A35,지상,10.0,3.0,4.2783,0.0,0.0
11710-100226578,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A57,지상,40.0,0.0,0.3292,0.0,0.0
11110-23187,,지상,서울특별시 종로구 팔판길 40-5,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11110-17028,,지상,서울특별시 종로구 백석동길 11-17,2.0,1.0,0.0,,,,,,,,,,46.2,3.0
11110-16833,,지상,서울특별시 종로구 경희궁1길 15,3.0,1.0,0.0,,,,,,,,,,0.0,0.0
11320-10726,,지상,서울특별시 도봉구 덕릉로60다길 14,2.0,1.0,0.0,,,,,,,,,,98.52,1.0
11680-875,11680-91,지상,서울특별시 강남구 양재대로 781,3.0,1.0,0.0,,,,,,,,,,49.26,149.0
11110-11054,,지상,서울특별시 종로구 자하문로24길 24,1.0,0.0,0.0,,,,,,,,,,38.7994,0.0
11110-28176,,지상,서울특별시 종로구 삼청로2길 27,1.0,0.0,0.0,,,,,,,,,,57.24,0.0
11710-100226559,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A23,지상,20.0,2.0,69.42,0.0,0.0
11680-5850,,지상,서울특별시 강남구 개포로15길 39,1.0,1.0,0.0,,,,,,,,,,37.33,2.0
11710-100226572,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A64-1,지상,10.0,3.0,4.6701,0.0,0.0
11710-100226484,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A62,지상,10.0,1.0,33.57,0.0,0.0
11110-8609,,지상,서울특별시 종로구 계동길 19-8,2.0,0.0,0.0,,,,,,,,,,51.9947,0.0
11740-1000000000000001591681,,지상,서울특별시 강동구 아리수로93나길 80,5.0,2.0,2.0,,,,,,,,,,296.95,28.0
11710-100226483,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A27,지상,22.0,1.0,30.1,0.0,0.0
11110-9035,,지상,서울특별시 종로구 종로 142,2.0,0.0,0.0,,,,,,,,,,0.0,0.0
11110-9405,,지상,서울특별시 종로구 자하문로4길 7,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11710-100226482,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A28,지상,21.0,-1.0,62.97,0.0,0.0
11410-100229534,11410-100229143,지상,서울특별시 서대문구 통일로 510,1.0,3.0,1.0,,,,,,,,,,0.0,0.0
11110-6320,,지상,서울특별시 종로구 북촌로5나길 3-7,1.0,1.0,0.0,,,,,,,,,,0.0,0.0
11710-100226254,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,4B06,지상,40.0,0.0,7.39,0.0,0.0
11710-100226258,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A28,지하,10.0,0.0,3.43,0.0,0.0
11710-100226259,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A30,지하,40.0,0.0,4.802,0.0,0.0
11710-100226260,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A29,지하,40.0,0.0,1.166,0.0,0.0
11110-6131,,지상,서울특별시 종로구 율곡로19길 27,5.0,1.0,0.0,,,,,,,,,,212.58,2.0
11620-29607,,지상,서울특별시 관악구 쑥고개로 24,2.0,1.0,0.0,,,,,,,,,,0.0,0.0
11680-12444,,지상,서울특별시 강남구 도산대로1길 20,5.0,1.0,0.0,,,,,,,,,,0.0,0.0
11710-100226255,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,C5,지하,40.0,0.0,1.795,0.0,0.0
11680-12411,,지상,서울특별시 강남구 테헤란로78길 8,9.0,2.0,1.0,,,,,,,,,,534.7,10.0
11440-1000000000000001544516,,지상,서울특별시 마포구 월드컵로11길 46-14,4.0,0.0,1.0,,,,,,,,,,199.48,2.0
11710-100226261,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A31,지하,10.0,0.0,2.229,0.0,0.0
11545-2586,11545-509,지상,서울특별시 금천구 범안로15길 4,3.0,1.0,0.0,,,,,,,,,,0.0,0.0
11440-100187732,,지상,서울특별시 마포구 어울마당로 100-6,4.0,0.0,1.0,,,,,,,,,,191.37,3.0
11440-1000000000000000467180,11440-100770937,지상,서울특별시 마포구 서강로 65,7.0,1.0,1.0,,,,,,,,,,240.95,21.0
11710-100226262,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A32,지하,40.0,0.0,0.694,0.0,0.0
11710-100226257,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,C6,지하,20.0,0.0,3.309,0.0,0.0
11710-100226269,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A38,지하,40.0,0.0,8.671,0.0,0.0
11710-100226270,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A41,지하,20.0,0.0,3.883,0.0,0.0
11530-12992,,지상,서울특별시 구로구 남부순환로97길 12,7.0,2.0,1.0,,,,,,,,,,393.91,12.0
11710-100226271,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A42,지하,40.0,0.0,1.253,0.0,0.0
11710-100226272,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A43-1,지하,10.0,0.0,4.025,0.0,0.0
11710-100226582,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A48,지상,40.0,0.0,18.1876,0.0,0.0
11650-18171,11650-399,지상,서울특별시 서초구 서초대로65길 13-10,3.0,2.0,0.0,,,,,,,,,,0.0,0.0
11680-10075,,지상,서울특별시 강남구 논현로 58,5.0,1.0,0.0,,,,,,,,,,214.07,6.0
11710-100226264,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A33,지하,40.0,0.0,5.843,0.0,0.0
11440-27972,,지상,서울특별시 마포구 동교로 256-10,3.0,1.0,0.0,,,,,,,,,,118.59,0.0
11440-20023,,지상,서울특별시 마포구 양화로11길 60,5.0,1.0,1.0,,,,,,,,,,270.73,12.0
11710-100226267,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A36-2,지하,10.0,0.0,2.712,0.0,0.0
11710-100226278,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,4B02,지상,10.0,0.0,31.098,0.0,0.0
11110-3498,,지상,서울특별시 종로구 자하문로 19-1,3.0,1.0,0.0,,,,,,,,,,0.0,0.0
11710-100226265,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A34,지하,20.0,0.0,2.616,0.0,0.0
11710-100226266,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A36-1,지하,40.0,0.0,1.419,0.0,0.0
11710-100226581,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A56,지상,40.0,0.0,0.4983,0.0,0.0
11680-1000000000000001242091,,지상,서울특별시 강남구 강남대로110길 24,0.0,1.0,0.0,,,,,,,,,,0.0,5.0
11680-5323,,지상,서울특별시 강남구 선릉로82길 47,5.0,0.0,0.0,,,,,,,,,,255.73,8.0
11110-3506,,지상,서울특별시 종로구 북촌로 133,3.0,1.0,0.0,,,,,,,,,,53.43,0.0
11710-100226558,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A22,지상,20.0,1.0,63.3875,0.0,0.0
11440-100255283,,지상,서울특별시 마포구 동교로38안길 24,4.0,0.0,0.0,,,,,,,,,,197.11,2.0
11680-100198507,,지상,서울특별시 강남구 삼성로 553,7.0,3.0,1.0,,,,,,,,,,249.98,25.0
11710-100226590,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A16,지상,40.0,0.0,0.8671,0.0,0.0
11710-100226586,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A48,지상,10.0,3.0,8.0939,0.0,0.0
11710-100226589,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A21,지상,10.0,3.0,11.27,0.0,0.0
11710-100226588,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A65,지상,40.0,0.0,28.896,0.0,0.0
11710-100226587,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A26,지상,40.0,0.0,0.6227,0.0,0.0
11710-100226359,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A72-1,지하,20.0,0.0,52.41,0.0,0.0
11710-100226277,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,4B03,지상,40.0,0.0,16.27,0.0,0.0
11680-1000000000000001242117,,지상,서울특별시 강남구 강남대로110길 26,0.0,2.0,1.0,,,,,,,,,,0.0,14.0
11410-25185,,지상,서울특별시 서대문구 거북골로23길 58-3,2.0,1.0,0.0,,,,,,,,,,81.4,0.0
11710-100226268,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A37,지하,40.0,0.0,0.844,0.0,0.0
11710-100226276,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,4B04,지상,40.0,0.0,9.682,0.0,0.0
11710-100226275,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A45,지하,20.0,0.0,30.001,0.0,0.0
11710-100226219,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,3A32,지상,20.0,0.0,33.24,0.0,0.0
11440-27782,,지상,서울특별시 마포구 성미산로31길 11-10,1.0,1.0,0.0,,,,,,,,,,0.0,0.0
11710-100226485,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A63,지상,20.0,1.0,34.43,0.0,0.0
11500-16511,,지상,서울특별시 강서구 강서로5나길 82,6.0,1.0,1.0,,,,,,,,,,359.1,6.0
11680-1000000000000001585277,,지상,서울특별시 강남구 도산대로45길 18-2,4.0,3.0,2.0,,,,,,,,,,140.93,11.0
11680-1000000000000001560847,,지상,서울특별시 강남구 봉은사로20길 27,2.0,2.0,1.0,,,,,,,,,,98.17,11.0
11680-1000000000000001370499,,지상,서울특별시 강남구 언주로107길 33,4.0,4.0,1.0,,,,,,,,,,148.4987,11.0
11710-100226557,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A20,지상,20.0,1.0,41.8688,0.0,0.0
11500-19783,,지상,서울특별시 강서구 공항대로3길 5,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11440-19825,,지상,서울특별시 마포구 양화로 113,9.0,2.0,1.0,,,,,,,,,,0.0,16.0
11680-17091,,지상,서울특별시 강남구 봉은사로68길 57,5.0,0.0,1.0,,,,,,,,,,274.99,6.0
11710-100226203,,지상,서울특별시 송파구 올림픽로 145,5.0,3.0,4.0,,,,,,,,,,238.86,0.0
11170-27419,,지상,서울특별시 용산구 이태원로19길 6-6,3.0,1.0,0.0,,,,,,,,,,188.66,0.0
11710-100226274,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A44,지하,40.0,0.0,66.995,0.0,0.0
11620-1000000000000001469224,,지상,서울특별시 관악구 난곡로34길 3-6,8.0,1.0,1.0,,,,,,,,,,299.44,7.0
11710-100226273,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A43-2,지하,40.0,0.0,2.106,0.0,0.0
11590-12278,,지상,서울특별시 동작구 상도로 200,1.0,0.0,0.0,,,,,,,,,,93.63,0.0
11110-13755,,지상,이화동 9-59,2.0,0.0,0.0,,,,,,,,,,28.5,0.0
11650-100218653,,지상,서울특별시 서초구 강남대로53길 7,14.0,6.0,3.0,,,,,,,,,,783.68,32.0
11680-1000000000000001328782,,지상,서울특별시 강남구 삼성로107길 12,7.0,1.0,1.0,,,,,,,,,,248.9556,5.0
11710-100226493,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A12,지상,10.0,1.0,22.26,0.0,0.0
11110-25646,,지상,서울특별시 종로구 종로14길 9,5.0,1.0,1.0,,,,,,,,,,385.95,0.0
11710-100224884,11710-100224773,지상,서울특별시 송파구 양재대로72길 5,,,,,,,,101동 1403호,지상,40.0,0.0,17.87,0.0,0.0
11545-17397,,지상,서울특별시 금천구 시흥대로 78,3.0,1.0,0.0,,,,,,,,,,86.72,0.0
11530-7544,,지상,서울특별시 구로구 구로동로35가길 10-3,2.0,1.0,0.0,,,,,,,,,,0.0,0.0
11440-29071,,지상,서울특별시 마포구 성미산로17길 105-4,3.0,1.0,0.0,,,,,,,,,,142.3,0.0
11710-100226556,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A18,지상,20.0,1.0,53.4188,0.0,0.0
11590-7077,,지상,서울특별시 동작구 사당로 222,4.0,1.0,0.0,,,,,,,,,,0.0,0.0
11380-34934,,지상,서울특별시 은평구 가좌로 296,4.0,1.0,0.0,,,,,,,,,,175.73,0.0
11500-100202456,11500-100202454,지상,서울특별시 강서구 화곡로20길 19-6,,,,,,,동원빌라,201호,지상,40.0,0.0,5.45,0.0,0.0
11680-100200827,,지상,서울특별시 강남구 언주로 314,5.0,2.0,2.0,,,,,,,,,,229.86,39.0
11710-100226555,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A17,지상,20.0,1.0,45.7038,0.0,0.0
11710-100226561,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A25,지상,20.0,2.0,110.293,0.0,0.0
11710-100226554,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A14,지상,20.0,1.0,53.2413,0.0,0.0
11710-100226560,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A24,지상,20.0,2.0,79.21,0.0,0.0
11680-19411,,지상,서울특별시 강남구 가로수길 54,2.0,1.0,0.0,,,,,,,,,,117.2,0.0
11710-100226223,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,A92,지하,20.0,0.0,301.34,0.0,0.0
11650-15575,,지상,서울특별시 서초구 반포대로 77,7.0,3.0,1.0,,,,,,,,,,315.21,33.0
11680-19547,,지상,서울특별시 강남구 삼성로81길 28-2,4.0,1.0,0.0,,,,,,,,,,162.3,3.0
11680-19810,,지상,서울특별시 강남구 압구정로50길 14,2.0,1.0,0.0,,,,,,,,,,115.44,2.0
11710-100226222,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,5B23,지상,20.0,0.0,39.0,0.0,0.0
