관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,지상층수,지하층수,승강기_수,주건축물수,세대수,가구수,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적,용적율,주차_대수
11710-100209428,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5042,지상,10.0,2.0,7.3,0.0,0.0
11710-100209406,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-5092,지상,20.0,2.0,5.36,0.0,0.0
11710-100209286,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-5097,지상,20.0,0.0,34.12,0.0,0.0
11710-100209435,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5105,지상,10.0,1.0,1.59,0.0,0.0
11710-100209436,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5104,지상,10.0,2.0,6.04,0.0,0.0
11710-100209420,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,F-5005,지상,20.0,0.0,36.64,0.0,0.0
11710-100209440,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5100,지상,10.0,2.0,5.92,0.0,0.0
11710-100209439,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5101,지상,10.0,1.0,1.55,0.0,0.0
11710-100209438,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5102,지상,20.0,2.0,1.55,0.0,0.0
11710-100209111,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,T-5077,지상,20.0,0.0,39.74,0.0,0.0
11710-100209600,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,T-5102,지상,10.0,1.0,290.91,0.0,0.0
11710-100209477,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,F-3084,지상,20.0,1.0,26.18,0.0,0.0
11710-100209476,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-3001,지상,20.0,1.0,27.39,0.0,0.0
11710-100209429,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5111,지상,40.0,0.0,7.95,0.0,0.0
11710-100209430,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5110,지상,20.0,2.0,1.55,0.0,0.0
11710-100209416,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-5027,지상,20.0,0.0,51.69,0.0,0.0
11710-100209417,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,F-5008,지상,20.0,0.0,41.71,0.0,0.0
11710-100209226,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,T-3144,지상,20.0,0.0,34.12,0.0,0.0
11710-100209418,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,F-5007,지상,20.0,0.0,42.57,0.0,0.0
11710-100209431,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5109,지상,10.0,1.0,1.55,0.0,0.0
11710-100209432,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5108,지상,10.0,2.0,5.92,0.0,0.0
11710-100209433,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,L-5107,지상,40.0,0.0,8.12,0.0,0.0
11710-100209596,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,T-5106,지상,20.0,1.0,106.66,0.0,0.0
11710-100209597,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,T-5105,지상,40.0,0.0,167.724,0.0,0.0
11710-100209598,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,T-5104,지상,40.0,0.0,167.724,0.0,0.0
11710-100209419,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,F-5006,지상,20.0,0.0,41.73,0.0,0.0
11710-100209354,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-3007,지상,20.0,2.0,1.58,0.0,0.0
11710-100209353,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-3008,지상,40.0,0.0,8.12,0.0,0.0
11710-100209352,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-3009,지상,10.0,2.0,5.92,0.0,0.0
11710-100209351,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-3010,지상,10.0,1.0,1.55,0.0,0.0
11710-100209350,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-3011,지상,20.0,2.0,1.55,0.0,0.0
11710-100209426,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,T-5036,지상,20.0,2.0,1.94,0.0,0.0
11710-100209172,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-3081,지상,20.0,1.0,3.08,0.0,0.0
11710-100209349,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-3012,지상,40.0,0.0,7.95,0.0,0.0
11710-100209348,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-3013,지상,10.0,2.0,7.3,0.0,0.0
11710-100209347,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-3014,지상,10.0,1.0,1.9,0.0,0.0
11545-7897,,지상,서울특별시 금천구 남부순환로112길 32,5.0,1.0,0.0,,,,,,,,,,209.18,4.0
11710-100209173,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,Y-3080,지상,40.0,0.0,1.14,0.0,0.0
11710-100209546,11710-100206053,지상,서울특별시 송파구 충민로 66,,,,,,,가든파이브라이프,F-3046,지상,20.0,2.0,5.36,0.0,0.0
